DATETIME,VOLUME,OPEN,CLOSE,MIN,MAX
04-11-2010 17:16:01,209,1.0134,1.0136,1.0131,1.0138
04-11-2010 17:17:01,265,1.0136,1.0136,1.0132,1.0141
04-11-2010 17:18:01,199,1.0137,1.0139,1.0133,1.0141
04-11-2010 17:19:01,269,1.0139,1.0137,1.0133,1.0143
04-11-2010 17:20:01,130,1.0137,1.0138,1.0134,1.0139
04-11-2010 17:21:01,236,1.0137,1.014,1.0132,1.0142
04-11-2010 17:22:01,170,1.014,1.014,1.0135,1.0143
04-11-2010 17:23:01,144,1.014,1.0142,1.0136,1.0144
04-11-2010 17:24:01,150,1.0142,1.0142,1.0138,1.0144
04-11-2010 17:25:01,237,1.0142,1.0137,1.0133,1.0144
04-11-2010 17:26:01,270,1.0137,1.0135,1.0131,1.0139
04-11-2010 17:27:01,238,1.0135,1.0134,1.0129,1.0137
04-11-2010 17:28:01,309,1.0134,1.0135,1.0129,1.0137
04-11-2010 17:29:01,280,1.0134,1.0135,1.0129,1.0137
04-11-2010 17:30:01,379,1.0135,1.0135,1.0129,1.0138
04-11-2010 17:31:01,299,1.0133,1.0134,1.013,1.0138
04-11-2010 17:32:01,420,1.0135,1.0133,1.0128,1.0137
04-11-2010 17:33:01,410,1.0133,1.013,1.0128,1.0136
04-11-2010 17:34:01,289,1.0129,1.0132,1.0127,1.0135
04-11-2010 17:35:01,374,1.0132,1.0127,1.0123,1.0135
04-11-2010 17:36:01,495,1.0128,1.0129,1.0121,1.013
04-11-2010 17:37:01,306,1.0129,1.0129,1.0124,1.0132
04-11-2010 17:38:01,257,1.0128,1.013,1.0124,1.0132
04-11-2010 17:39:01,315,1.013,1.013,1.0125,1.0133
04-11-2010 17:40:01,166,1.013,1.013,1.0125,1.0133
04-11-2010 17:41:01,124,1.0131,1.0129,1.0125,1.0132
04-11-2010 17:42:01,113,1.013,1.013,1.0128,1.0132
04-11-2010 17:43:01,259,1.013,1.0131,1.0126,1.0133
04-11-2010 17:44:01,174,1.0131,1.0131,1.0126,1.0134
04-11-2010 17:45:01,211,1.0132,1.0128,1.0124,1.0134
04-11-2010 17:46:01,250,1.0128,1.0128,1.0122,1.0131
04-11-2010 17:47:01,300,1.0128,1.0128,1.0124,1.0132
04-11-2010 17:48:01,201,1.0127,1.0133,1.0125,1.0135
04-11-2010 17:49:01,374,1.0133,1.0133,1.0128,1.0136
04-11-2010 17:50:01,189,1.0132,1.0134,1.0128,1.0136
04-11-2010 17:51:01,94,1.0134,1.0135,1.013,1.0136
04-11-2010 17:52:01,203,1.0135,1.0133,1.0129,1.0136
04-11-2010 17:53:01,132,1.0134,1.0134,1.0128,1.0136
04-11-2010 17:54:01,159,1.0133,1.0133,1.0128,1.0136
04-11-2010 17:55:01,176,1.0133,1.0133,1.0129,1.0135
04-11-2010 17:56:01,311,1.0132,1.0135,1.0129,1.0138
04-11-2010 17:57:01,208,1.0136,1.0134,1.013,1.0137
04-11-2010 17:58:01,222,1.0135,1.0132,1.0127,1.0136
04-11-2010 17:59:01,394,1.0132,1.0129,1.0125,1.0134
